"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dense_1_units","dense_2_units","dropout","learning_rate","method","metric.goal","metric.name","parameters.dense_1_unitss","parameters.dense_2_unitss","parameters.dropouts","parameters.learning_rates","val_accuracy","val_loss"
"rural-sweep-25","finished","-","","","2026-04-05T11:32:54.000Z","251","48r52rvo","192","64","0.1","0.001","","","","","","","","0.6008333563804626","1.3578263521194458"
"generous-sweep-47","finished","-","","","2026-04-05T12:50:51.000Z","315","48r52rvo","512","128","0.1","0.001","","","","","","","","0.5795833468437195","1.446062088012695"
"noble-sweep-15","finished","-","","","2026-04-05T10:59:08.000Z","294","48r52rvo","96","16","0.3","0.001","","","","","","","","0.5760416388511658","1.3793838024139404"
"denim-sweep-7","finished","-","","","2026-04-05T10:28:56.000Z","312","48r52rvo","512","96","0.5","0.0001","","","","","","","","0.5629166960716248","1.4903010129928589"
"legendary-sweep-43","finished","-","","","2026-04-05T12:36:45.000Z","311","48r52rvo","64","16","0.1","0.0001","","","","","","","","0.56270831823349","1.415871024131775"
"genial-sweep-11","finished","-","","","2026-04-05T10:44:09.000Z","302","48r52rvo","192","16","0.3","0.001","","","","","","","","0.5581250190734863","1.443910837173462"
"good-sweep-37","finished","-","","","2026-04-05T12:15:10.000Z","312","48r52rvo","64","32","0.3","0.0001","","","","","","","","0.5506250262260437","1.4870264530181885"
"still-sweep-27","finished","-","","","2026-04-05T11:40:21.000Z","316","48r52rvo","256","32","0.1","0.0001","","","","","","","","0.5504166483879089","1.5001404285430908"
"comfy-sweep-4","finished","-","","","2026-04-05T10:20:47.000Z","209","48r52rvo","128","96","0.3","0.001","","","","","","","","0.550000011920929","1.4650112390518188"
"silvery-sweep-9","finished","-","","","2026-04-05T10:37:24.000Z","294","48r52rvo","192","96","0.3","0.0001","","","","","","","","0.5464583039283752","1.5425074100494385"
"stilted-sweep-14","finished","-","","","2026-04-05T10:54:38.000Z","268","48r52rvo","128","16","0.3","0.001","","","","","","","","0.5452083349227905","1.4648455381393433"
"classic-sweep-30","finished","-","","","2026-04-05T11:49:27.000Z","312","48r52rvo","512","32","0.1","0.0001","","","","","","","","0.5325000286102295","1.53975248336792"
"lyric-sweep-17","finished","-","","","2026-04-05T11:05:38.000Z","306","48r52rvo","192","32","0.5","0.0001","","","","","","","","0.5320833325386047","1.572105050086975"
"tough-sweep-3","finished","-","","","2026-04-05T10:15:36.000Z","310","48r52rvo","128","16","0.3","0.0001","","","","","","","","0.5318750143051147","1.4883053302764893"
"jumping-sweep-8","finished","-","","","2026-04-05T10:34:12.000Z","191","48r52rvo","256","16","0.3","0.001","","","","","","","","0.5256249904632568","1.483479142189026"
"divine-sweep-35","finished","-","","","2026-04-05T12:08:20.000Z","181","48r52rvo","96","64","0.1","0.001","","","","","","","","0.5224999785423279","1.5095540285110474"
"dauntless-sweep-42","finished","-","","","2026-04-05T12:31:33.000Z","309","48r52rvo","256","16","0.5","0.0001","","","","","","","","0.51583331823349","1.6148847341537476"
"sage-sweep-46","finished","-","","","2026-04-05T12:46:37.000Z","251","48r52rvo","256","64","0.5","0.001","","","","","","","","0.5149999856948853","1.505675196647644"
